date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:30	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	http://findmatthew.com/robots.txt		(from )
10:56:30	23037/23037	U-----	200	untouched ('OK')	text/html	etag:W/%225e3351db-59fd%22	http://findmatthew.com/	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/index.html	(from )
10:56:31	64666/64666	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-fc9a%22	http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/fonts/mdi/css/materialdesignicons.min.css	(from http://findmatthew.com/)
10:56:31	25283/25283	---MCZ	200	added ('OK')	text/css	etag:W/%225e3351db-62c3%22	http://findmatthew.com/style/style.css	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/style/style.css	(from http://findmatthew.com/)
10:56:32	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225e3351db-47e%22	http://findmatthew.com/favicon.ico	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/favicon.ico	(from http://findmatthew.com/)
10:56:33	5876/5876	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7b-16f4%22	https://cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/cdnjs.cloudflare.com/ajax/libs/prefixfree/1.0.7/prefixfree.min.js	(from http://findmatthew.com/)
10:56:33	85589/85589	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from http://findmatthew.com/)
10:56:33	29299/29299	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a4b-7273%22	https://cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/cdnjs.cloudflare.com/ajax/libs/mixitup/2.1.11/jquery.mixitup.min.js	(from http://findmatthew.com/)
10:56:33	8833/8833	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4ad6-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.0/jquery.waypoints.min.js	(from http://findmatthew.com/)
10:56:35	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-15bd9%22	http://findmatthew.com/scripts/pt.min.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
10:56:35	4597/4597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-11f5%22	http://findmatthew.com/scripts/index.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/scripts/index.js	(from http://findmatthew.com/)
10:56:36	5877/5877	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-16f5%22	http://findmatthew.com/scripts/modal.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
10:56:38	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225cc36b88-247b%22	http://findmatthew.com/img/filler.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
10:56:58	210416/210416	---M--	200	added ('OK')	image/png	etag:%225e3351db-335f0%22	http://findmatthew.com/img/me.png	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/me.png	(from http://findmatthew.com/)
10:57:04	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-795d%22	http://findmatthew.com/img/thumb-4.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
10:57:17	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-ab71%22	http://findmatthew.com/img/thumb-5.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
10:57:23	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
10:57:27	315448/315448	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-4d038%22	http://findmatthew.com/img/thumb-3.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-3.jpg	(from http://findmatthew.com/)
10:57:29	350941/350941	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-55add%22	http://findmatthew.com/img/thumb-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-2.jpg	(from http://findmatthew.com/)
10:57:39	35212/35212	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-898c%22	http://findmatthew.com/img/blog-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/blog-2.jpg	(from http://findmatthew.com/)
10:57:42	51638/51638	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-c9b6%22	http://findmatthew.com/img/blog-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/blog-1.jpg	(from http://findmatthew.com/)
10:57:43	50412/50412	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-c4ec%22	http://findmatthew.com/img/blog-3.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/blog-3.jpg	(from http://findmatthew.com/)
10:57:56	105948/105948	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-19ddc%22	http://findmatthew.com/img/blog-4.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/blog-4.jpg	(from http://findmatthew.com/)
10:58:40	359190/359190	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-57b16%22	http://findmatthew.com/img/slides/discover-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/discover-0.jpg	(from http://findmatthew.com/)
10:58:53	981008/981008	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-ef810%22	http://findmatthew.com/img/thumb-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/thumb-1.jpg	(from http://findmatthew.com/)
10:59:01	493626/493626	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-7883a%22	http://findmatthew.com/img/slides/discover-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/discover-1.jpg	(from http://findmatthew.com/)
10:59:46	693607/693607	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-a9567%22	http://findmatthew.com/img/slides/discover-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/discover-2.jpg	(from http://findmatthew.com/)
10:59:47	276775/276775	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-43927%22	http://findmatthew.com/img/slides/ordering-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/ordering-2.jpg	(from http://findmatthew.com/)
10:59:48	315442/315442	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-4d032%22	http://findmatthew.com/img/slides/ordering-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/ordering-1.jpg	(from http://findmatthew.com/)
10:59:52	458513/458513	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-6ff11%22	http://findmatthew.com/img/slides/ordering-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/ordering-0.jpg	(from http://findmatthew.com/)
11:00:05	68923/68923	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-10d3b%22	http://findmatthew.com/img/slides/mystand-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/mystand-0.jpg	(from http://findmatthew.com/)
11:00:29	134960/134960	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-20f30%22	http://findmatthew.com/img/slides/mystand-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/mystand-1.jpg	(from http://findmatthew.com/)
11:00:43	84100/84100	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-14884%22	http://findmatthew.com/img/slides/mystand-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/mystand-2.jpg	(from http://findmatthew.com/)
11:00:46	393038/393038	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-5ff4e%22	http://findmatthew.com/img/slides/newrelic-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/newrelic-0.jpg	(from http://findmatthew.com/)
11:00:47	356803/356803	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-571c3%22	http://findmatthew.com/img/slides/newrelic-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/newrelic-2.jpg	(from http://findmatthew.com/)
11:01:03	94097/94097	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-16f91%22	http://findmatthew.com/img/slides/never-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/never-1.jpg	(from http://findmatthew.com/)
11:01:07	511425/511425	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-7cdc1%22	http://findmatthew.com/img/slides/newrelic-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/newrelic-1.jpg	(from http://findmatthew.com/)
11:01:10	129431/129431	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1f997%22	http://findmatthew.com/img/slides/never-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/never-2.jpg	(from http://findmatthew.com/)
11:01:21	244514/244514	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-3bb22%22	http://findmatthew.com/img/slides/never-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/never-0.jpg	(from http://findmatthew.com/)
11:01:23	123996/123996	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1e45c%22	http://findmatthew.com/img/slides/powur-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/powur-0.jpg	(from http://findmatthew.com/)
11:01:35	148916/148916	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-245b4%22	http://findmatthew.com/img/slides/powur-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/powur-2.jpg	(from http://findmatthew.com/)
11:01:42	124336/124336	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1e5b0%22	http://findmatthew.com/img/slides/roambi-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/roambi-1.jpg	(from http://findmatthew.com/)
11:01:44	161672/161672	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-27788%22	http://findmatthew.com/img/slides/roambi-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/roambi-0.jpg	(from http://findmatthew.com/)
11:01:47	282769/282769	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-45091%22	http://findmatthew.com/img/slides/powur-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/powur-1.jpg	(from http://findmatthew.com/)
11:02:07	55212/55212	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-d7ac%22	http://findmatthew.com/img/slides/themall-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/themall-2.jpg	(from http://findmatthew.com/)
11:02:17	59850/59850	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-e9ca%22	http://findmatthew.com/img/slides/walker-0.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/walker-0.jpg	(from http://findmatthew.com/)
11:02:18	79838/79838	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-137de%22	http://findmatthew.com/img/slides/roambi-2.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/roambi-2.jpg	(from http://findmatthew.com/)
11:02:20	119836/119836	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-1d41c%22	http://findmatthew.com/img/slides/themall-1.jpg	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/img/slides/themall-1.jpg	(from http://findmatthew.com/)
11:02:22	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3351db-809%22	http://findmatthew.com/scripts/canvas.js	E:/WACHU%20DOCS/PROJECTS/My%20profile/findmatthew.com/scripts/canvas.js	(from http://findmatthew.com/)
